,gender,name,original_name
2308803,1,Charlotte Ford,Charlotte Ford
1408486,2,Milo Boulton,Milo Boulton
40551,2,Stephen Young,Stephen Young
1089965,2,Albert Dumortier,Albert Dumortier
58495,2,Morgan Paull,Morgan Paull
198025,0,Pat Zurica,Pat Zurica
93949,2,David Bauer,David Bauer
558445,2,John Barrie,John Barrie
35826,2,Siegfried Rauch,Siegfried Rauch
200911,2,Gerald Flood,Gerald Flood
183207,2,Peter Barkworth,Peter Barkworth
106726,2,Sandy McPeak,Sandy McPeak
1089966,2,Abraxas Aaran,Abraxas Aaran
87473,2,Clint Ritchie,Clint Ritchie
1047752,2,Alan MacNaughtan,Alan MacNaughtan
1022040,2,Florencio Amarilla,Florencio Amarilla
153085,2,Brandon Brady,Brandon Brady
43800,2,Charles Dennis,Charles Dennis
1089967,1,Dolores Judson,Dolores Judson
32526,2,Hellmut Lange,Hellmut Lange
1089968,2,Bruce Rhodewalt,Bruce Rhodewalt
1242585,2,Lowell Thomas,Lowell Thomas
116645,2,Harry Towb,Harry Towb
35958,2,Billy Kearns,Billy Kearns
79473,1,Bea Arthur,Bea Arthur
131814,2,Michael Brandon,Michael Brandon
3086,2,Richard S. Castellano,Richard S. Castellano
19889,2,Bob Dishy,Bob Dishy
1282688,0,Marian Hailey,Marian Hailey
1549240,2,Joseph Hindy,Joseph Hindy
10412,1,Anne Jackson,Anne Jackson
3092,1,Diane Keaton,Diane Keaton
32394,1,Anne Meara,Anne Meara
99980,1,Charlotte Jones,Charlotte Jones
26042,2,Jerry Stiller,Jerry Stiller
99949,1,Connie Mason,Connie Mason
66670,2,Chief Dan George,Chief Dan George
556051,1,Aimée Eccles,Aimée Eccles
30865,2,Lou Cutell,Lou Cutell
12123,2,Jesse Vint,Jesse Vint
1680756,0,Philip Kenneally,Philip Kenneally
157641,2,Jack Bannon,Jack Bannon
1848284,0,Ray Dimas,Ray Dimas
1678775,0,Steve Miranda,Steve Miranda
8225,2,Barry Foster,Barry Foster
31721,1,Marie Kean,Marie Kean
31719,2,Arthur O'Sullivan,Arthur O'Sullivan
1718511,1,Evin Crowley,Evin Crowley
202229,2,Douglas Sheldon,Douglas Sheldon
150864,2,Barry Jackson,Barry Jackson
140230,2,Niall Tóibín,Niall Tóibín
601406,2,Philip O'Flynn,Philip O'Flynn
1718683,0,Donal Neligan,Donal Neligan
1718684,2,Brian O'Higgins,Brian O'Higgins
104758,2,Niall O'Brien,Niall O'Brien
757902,0,Owen Sullivan,Owen Sullivan
95692,1,Jennie Linden,Jennie Linden
97169,0,Catherine Willmer,Catherine Willmer
33105,1,Sharon Gurney,Sharon Gurney
93325,2,Christopher Gable,Christopher Gable
