,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
Total Recall_1990,False,/cE9Gtz5KEVkien4VDSgXjtwfcs.jpg,"[28, 12, 878]",861,en,Total Recall,"Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company who manufacture memories. Something goes wrong during his memory implant turning Doug's life upside down and even to question what is reality and what isn't.",37.823,/wVbeL6fkbTKSmNfalj4VoAUUqJv.jpg,1990-06-01,Total Recall,False,7.3,4956
Flatliners_1990,False,/f6HK5Uk9LQwPpdcdQA5BIhcNa6f.jpg,"[18, 878, 27]",1551,en,Flatliners,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life.",17.616,/wda3j7p7YHXKpFIlSzoTCtP7myF.jpg,1990-08-10,Flatliners,False,6.5,1300
Alice_1990,False,/b4yiLlIFuiULuuLTxT0Pt1QyT6J.jpg,"[16, 10751, 14, 12]",12092,en,Alice in Wonderland,"On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!",54.924,/20cvfwfaFqNbe9Fc3VEHJuPRxmn.jpg,1951-07-28,Alice in Wonderland,False,7.2,5192
Green Card_1990,False,/3vCaCANCMy50p4N5YreaoSnl92S.jpg,"[35, 18, 10749]",12157,en,Green Card,"Urban horticulturalist Brontë Mitchell has her eye on a gorgeous apartment, but the building's board will rent it only to a married couple. Georges Fauré, a waiter from France whose visa is expiring, needs to marry an American woman to stay in the country. Their marriage of convenience turns into a burden when they must live together to allay the suspicions of the immigration service, as the polar opposites grate on each other's nerves.",8.29,/9UweLsv3pCORu25Uq72m2IBkKaK.jpg,1990-12-23,Green Card,False,6.1,409
Metropolitan_1990,False,/y6mip3WPX3PrxIhCZwOm2Szwpvc.jpg,"[35, 18, 10749]",15389,en,Metropolitan,"A radical student is adopted by a group of young New Yorkers, serves as a catalyst to alter his and their lives. Gathering in a Manhattan apartment, the group of friends meet to discuss social mobility, Fourier's socialism and play bridge in their cocoon of upper-class society - until they are joined by a man with a critical view of their way of life.",7.355,/852ZwTRj9tRxkGOT0Pu0Ep8yimk.jpg,1990-08-03,Metropolitan,False,6.9,117
nan_1990,False,/o9mmwQU2GdAYKIRloeKfXSM5Ksy.jpg,"[10749, 35]",917889,th,นางอาย,"This is the story of a young girl who goes to an overseas convent school. She is very out-going, happy, playful and sometimes quite daring. One of her close friends has to quit school because of the financial situation at home. She asks for help from Tanathip who works as officer at the Thai embassy. Kumphol, the son of her father’s friend secretly falls in love with her.",1.126,/tDzE4pIVCnKgOCW7tZZhcEqV1Lz.jpg,1990-11-21,Nang Eye,False,0,0
Bugsy_1991,False,/t353Hj5sFXWQFriVzB1GiT3TSlm.jpg,"[80, 18, 9648]",10337,en,Bugsy,"New York gangster Ben 'Bugsy' Siegel takes a brief business trip to Los Angeles. A sharp-dressing womanizer with a foul temper, Siegel doesn't hesitate to kill or maim anyone crossing him. In L.A. the life, the movies, and most of all strong-willed Virginia Hill detain him while his family wait back home. Then a trip to a run-down gambling joint at a spot in the desert known as Las Vegas gives him his big idea.",9.215,/oFV3VWZ0LVwnoThysAE0MfUuxck.jpg,1991-12-10,Bugsy,False,6.4,322
Cape Fear_1991,False,/ntgpger7OwFNlEldxuvvFHDKzjW.jpg,"[80, 53]",1598,en,Cape Fear,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, Bible-quoting, psychotic rapist. What do they have in common? 14 years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",20.777,/ws4mrtndzgSH5QGCamOFAgilr2R.jpg,1991-11-13,Cape Fear,False,7.3,2862
The Silence of the Lambs_1991,False,/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg,"[80, 18, 53]",274,en,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",12.71,/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg,1991-02-14,The Silence of the Lambs,False,8.3,14174
The Prince of Tides_1991,False,/lrhZ2Zfgsgu078X3EC4XMCTe3Vf.jpg,"[18, 10749]",10333,en,The Prince of Tides,A troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.,9.248,/9XnfC64QRUp5HYPtSVasi7L9NGk.jpg,1991-12-25,The Prince of Tides,False,6.6,230
The Fisher King_1991,False,/iqaQP6bYnwRGxdVBORppFS1TQWj.jpg,"[35, 18]",177,en,The Fisher King,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,11.572,/5mb1IV53luUNTRyF3TSC77X1KZs.jpg,1991-09-20,The Fisher King,False,7.3,1122
JFK_1991,False,/lGJxJQCiEeaoXAoQUvBcv6lRa7U.jpg,"[18, 53, 36]",820,en,JFK,Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.,20.439,/r0VWVTYlqdRCK5ZoOdNnHdqM2gt.jpg,1991-12-20,JFK,False,7.6,1742
Barton Fink_1991,False,/uvghTjsDNpdN9abdgSlYn6EKK8P.jpg,"[35, 18, 53, 9648]",290,en,Barton Fink,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,15.885,/s8Jd8T2UktNkECPfaleruDt3zUf.jpg,1991-08-01,Barton Fink,False,7.5,1401
City Slickers_1991,False,/AoAgZ5myR57cpXGyb46wZsuETY7.jpg,"[35, 37]",1406,en,City Slickers,"Three New York businessmen decide to take a ""Wild West"" vacation that turns out not to be the relaxing vacation they had envisioned.",13.781,/9DVZpm9pQNB3M17cRo752zqUYhL.jpg,1991-06-07,City Slickers,False,6.4,633
Thelma & Louise_1991,False,/h682VsV5eIo5Ek50rDt7srYXFm4.jpg,"[18, 53, 80, 12]",1541,en,Thelma & Louise,"Whilst on a short weekend getaway, Louise shoots a man who had tried to rape Thelma. Due to the incriminating circumstances, they make a run for it and thus a cross country chase ensues for the two fugitives. Along the way, both women rediscover the strength of their friendship and surprising aspects of their personalities and self-strengths in the trying times.",23.4,/gQSUVGR80RVHxJywtwXm2qa1ebi.jpg,1991-05-24,Thelma & Louise,False,7.6,2826
Rambling Rose_1991,False,/uAr9ideK1TCMDVTwRRaXr36Kha2.jpg,[18],32221,en,Rambling Rose,"Rose is taken in by the Hillyer family to serve as a 1930s housemaid so that she can avoid falling into a life of prostitution. Her appearence and personality is such that all men fall for her, and she knows it. She can't help herself from getting into trouble with men.",16.089,/hAoluBzewlMqRH4mgFJvr4EPOMw.jpg,1991-09-10,Rambling Rose,False,6.4,53
For the Boys_1991,False,/vU9OyKHqfCaRWjgUp2ocyZFzcZg.jpg,"[18, 10402]",25221,en,For the Boys,"On a USO tour during World War II, entertainer Eddie Sparks needs a partner to round out his act. Soon after hiring performer Dixie Leonard, Eddie decides he wants her out of the show — mostly because she upstages him. Dixie is close to leaving of her own accord, but her uncle, Art Silver, convinces her to stay. As the years and wars go by, Eddie and Dixie experience a tumultuous relationship onstage and off while they continue the act for the troops.",7.647,/7cMupruGQjcm43mC30fTazT7pOe.jpg,1991-11-22,For the Boys,False,6.5,59
Fried Green Tomatoes_1991,False,/hgbRDIwSiQ7reWwzFtWFy0v02xo.jpg,"[18, 35]",1633,en,Fried Green Tomatoes,"Amidst her own personality crisis, southern housewife Evelyn Couch meets Ninny, an outgoing old woman who tells her the story of Idgie Threadgoode and Ruth Jamison, two young women who experienced hardships and love in Whistle Stop, Alabama in the 1920s.",18.621,/pnn2azXtMvDPqY5EZNGbndAxJmr.jpg,1991-12-27,Fried Green Tomatoes,False,7.7,1125
Hook_1991,False,/x5VGdEBBGuhA0YRlk6dFFxGcamG.jpg,"[12, 14, 35, 10751]",879,en,Hook,"The boy who wasn't supposed grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.",33.241,/a6rB1lGXoGms7gWxRfJneQmAjNV.jpg,1991-04-10,Hook,False,6.8,4682
Terminator 2: Judgment Day_1991,False,/xKb6mtdfI5Qsggc44Hr9CCUDvaj.jpg,"[28, 53, 878]",280,en,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",94.684,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,1991-07-03,Terminator 2: Judgment Day,False,8.1,11034
The Addams Family_1991,False,/7OxGhxUYAdtuike29VMzEFxJx7y.jpg,"[35, 14]",2907,en,The Addams Family,"When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",84.925,/qFf8anju5f2epI0my8RdwwIXFIP.jpg,1991-11-22,The Addams Family,False,7,3921
Madame Bovary_1991,False,/m4gGt73A0bEMPRS4eiIrRuDk5KW.jpg,"[10749, 18]",2528,fr,Madame Bovary,"Bored with the limited and tedious nature of provincial life in 19th-century France, the fierce and sensual Emma Bovary finds herself in calamitous debt and pursues scandalous sexual liaisons with absolute abandon. However, when her volatile lifestyle catches up to her, the lives of everyone around her are endangered.",9.518,/rNGxgRbFiZhMXvZnKbRVK9eajAh.jpg,1991-04-03,Madame Bovary,False,6.3,111
Boyz N the Hood_1991,False,/6SnFa3qfCvh4aARg6y3UevKLROh.jpg,"[80, 18]",650,en,Boyz n the Hood,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,35.202,/v4ox4aSCNT5vyLXl4Q71JiWwCXW.jpg,1991-07-12,Boyz n the Hood,False,7.6,1612
Death on the Job_1991,False,,[99],149397,en,Death on the Job,"A revealing look at how workers' safety is being compromised with tragic results. Interviews with accident investigators, co-workers, and victims' families detail the causes and consequences of accidents, while extensive news footage and home videos taken by accident survivors and family members expose the hazards of such industries as commercial fishing, construction and chemical refineries. An indictment of inadequate governmental safeguards, this important film makes a plea for the protection of workers.",0.6,/d7JKD0zvlEaaGapVfvI9jCrrFDU.jpg,1991-11-17,Death on the Job,False,7.5,1
Doing Time: Life inside the Big House_1991,False,,[99],149398,en,Doing Time: Life Inside the Big House,"Academy Award®-nominated DOING TIME: LIFE INSIDE THE BIG HOUSE takes a hard-edged look at life inside the walls of Lewisburg, a maximum security federal penitentiary where the notion of rehabilitation and parole have all but been abandoned. After gaining unprecedented permission from the Justice Department, Emmy® Award-winner Alan Raymond spent five weeks inside Lewisburg. With access to the entire prison, the Raymonds captured the stories of corrections officers as well as the inmates, including drug lords, ""lifers"" with no possibility of parole, and prisoners convicted of leading prison riots. Detailing a world where prisoners carry ""shanks"" and officers respond to violence in full riot gear, this candid documentary reveals what life inside ""the big house"" is really like. A rare, unprecedented look at the prison subculture, DOING TIME: LIFE INSIDE THE BIG HOUSE will challenge the way you look at incarceration in America.",0.6,,1991-02-12,Doing Time: Life Inside the Big House,False,7,4
In the Shadow of the Stars_1991,False,,[99],114525,en,In the Shadow of the Stars,"A hilarious and affectionate look at the path to stardom inside the competitive world of opera. Filmmakers Allie Light and Irving Saraf relegate the divas to the background and focus on a limelight-craving group of ""choristers"" -- the seldom-noticed singers who stand behind the soloists portraying peasants, soldiers and slaves.",0.6,/x2mGI1RuVniDx5gW3ttbu8zYMzc.jpg,1991-08-14,In the Shadow of the Stars,False,5.8,5
The Restless Conscience_1991,False,,[99],136649,en,The Restless Conscience: Resistance to Hitler Within Germany 1933-1945,"Directed by Hava Kohav Beller, this stirring documentary chronicles the anti-Nazi resistance movement within Hitler's Germany and the countless unsuccessful attempts to remove the führer from power.",0.6,,1991-12-31,The Restless Conscience: Resistance to Hitler Within Germany 1933-1945,False,5.3,3
Wild by Law_1991,False,,[99],136648,en,Wild by Law,"Tells about the Wilderness Act of 1964 and the three men responsible for its passage: forester/philosopher Aldo Leopold, author of the bestselling Sand County almanac and the first to bring the word 'ecology' into standard usage; Bob Marshall, millionaire socialist and founder of the Wilderness Society; and Howard Zahniser, a bureaucrat with a love of the wild places he seldom saw. Singly and together, these three fought from the 1920s through the 1950s to preserve the natural world. Provides an overview of the roots of the environmental movement, offering a deeper understanding of one of the most important issues facing contemporary civilization.",0.6,,1991-12-01,Wild by Law,False,6.3,3
Birdnesters of Thailand (aka 'Shadow Hunters')_1991,,,,,,,,,,,,,,
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment_1991",False,,[],244733,en,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",This 1991 Academy Award®-winning documentary uncovers the disastrous health and environmental side effects caused by the production of nuclear materials by the General Electric Corporation.,0.6,/ujHZ8IvhLJALbFU2pvQTOIYrzyZ.jpg,1991-10-11,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",False,6.5,4
A Little Vicious_1991,False,,[],244735,en,A Little Vicious,"Bandit, a Connecticut house dog with ties to the Pit Bull family, is condemned to death for biting an aggressive neighbor and then his own remorseful master. But when the late great dog-trainer and philosopher Vicki Hearne steps in, a judge grants him a 90-day stay of execution--and a chance to prove that old dogs can learn new tricks.",0.6,/x9sesrr50keP33Ijw0Ws7J80PYo.jpg,1991-05-22,A Little Vicious,False,6.5,2
The Mark of the Maker_1991,False,,[99],244737,en,The Mark of the Maker,"The Mark of the Maker looks at the art of manual paper-making. Kathryn and Howard Clark tell of how they got into the habit of doing this, and why they set up shop in rural Indiana. David McGowan's Academy Award-nominated documentary is one of those productions that shows a little known but useful practice.",0.6,/qPdJVhfd3Ow0ay6FMoi9GBmB8yG.jpg,1991-01-01,The Mark of the Maker,False,0,0
Memorial: Letters from American Soldiers_1991,False,,[99],244738,en,Memorial: Letters from American Soldiers,"Memorial: Letters from American Soldiers is a 1991 American short documentary film directed by Bill Couturié. It shows footage from World War I, World War II, the Korean War, the Vietnam War and the Gulf War, overlaid with readings of letters from US troops fighting in each war. It was nominated for an Academy Award for Best Documentary Short.",0.705,/wnErKRknRBIr7aTI0wXDNuRuV4E.jpg,1991-01-01,Memorial: Letters from American Soldiers,False,5.7,3
The Commitments_1991,False,/bQHHEFYBZc23nhbo0z0qB7nxW31.jpg,"[35, 18, 10402]",11663,en,The Commitments,"Jimmy Rabbitte, just a tick out of school, gets a brilliant idea: to put a soul band together in Barrytown, his slum home in north Dublin. First he needs musicians and singers: things slowly start to click when he finds three fine-voiced females virtually in his back yard, a lead singer (Deco) at a wedding, and, responding to his ad, an aging trumpet player, Joey ""The Lips"" Fagan.",9.1,/eLGW0waiQyEwnNEJcJDH2Tsd3Hu.jpg,1991-08-14,The Commitments,False,7.3,452
Children of Nature_1991,False,/zhwJ7H82DyXV26kvE7YAYJ3r6pN.jpg,"[10749, 18]",26880,is,Börn náttúrunnar,An elderly couple leave their retirement home to make one last journey back to their home in the Western Fjords.,1.228,/lsYKr51GWOwNjZvu6lyry1nNH9S.jpg,1991-08-01,Children of Nature,False,5.9,11
The Elementary School_1991,False,/7ycZDUVlJnPRUwJjUvG8po6yPq7.jpg,"[35, 18]",18141,cs,Obecná škola,"The time is 1945-46. 10 year old Eda and his friend Tonda live in a small village outside Prague. In school, their class is so wild and indisciplined that their teacher quits and is replaced by the militant Igor Hnidzo. He is very strict - but also very just. His weakness is his interest in young women. Plot by Mattias Thuresson.",3.511,/zki69hEHaqyirdq7mn5Qq1FRVgC.jpg,1991-08-08,The Elementary School,False,7.4,38
Mediterraneo_1991,False,/blVwbNcmo4CyzW7qhxngTaPtjB6.jpg,"[35, 10749, 10752]",38251,it,Mediterraneo,"Greek Sea, World War II. An Italian ship leaves a handful of soldiers in a little island; their mission is to spot enemy ships and to hold the island in case of attack. The village of the island seems abandoned and there isn't a single enemy in sight, so the soldiers begin to relax a little. Things change when their ship is hit and destroyed by the enemy, and the soldiers find themselves abandoned there.",11.406,/79lhg29sm8R1OTa6Ulj1WJnaDoS.jpg,1991-01-31,Mediterraneo,False,7.6,880
The Ox_1991,False,/eym5cDjN43kA4q3ksvDcF3zbScZ.jpg,[18],125882,sv,Oxen,"In desperation brought on by near-starvation, Helge Roos kills his master's ox to feed his wife and baby daughter, setting off a devastating and unexpected chain of events.",1.36,/nlStNLvwgcy0ZKEfYTbz6KTPOYt.jpg,1991-11-22,The Ox,False,6.5,13
Raise the Red Lantern_1991,False,/7aRdT0ijJdME6jY8PzHgzAmw0dd.jpg,[18],10404,zh,大红灯笼高高挂,"China in the 1920s. After her father's death, 19 year old Songlian is forced to marry the much older lord of a powerful family. With three wives already, each living in a separate house within the great castle, there is fierce competition for his attention and the privileges that are gained. This competition gets out of hand.",18.736,/j6MGZpg55cTqlHHwahBtzI2qQg1.jpg,1991-12-18,Raise the Red Lantern,False,8,579
Star Trek VI The Undiscovered Country_1991,False,/lcQRSqOCkWkJSwF6xSYXAoOhaAF.jpg,"[878, 28, 12, 53]",174,en,Star Trek VI: The Undiscovered Country,"After years of war, the Federation and the Klingon empire find themselves on the brink of a peace summit when a Klingon ship is nearly destroyed by an apparent attack from the Enterprise. Both worlds brace for what may be their dealiest encounter.",13.44,/tvTOJD7Gz668GLy2nNdLRQvpPsv.jpg,1991-12-06,Star Trek VI: The Undiscovered Country,False,7,1060
Beauty and the Beast_1991,False,/jsgRkhPxYtzAhDFCUyNbvlX63tY.jpg,"[10749, 10751, 16, 14]",10020,en,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",84.969,/6DDJ8o2d6T4fpGWECLF4xBGTyAM.jpg,1991-10-22,Beauty and the Beast,False,7.7,8849
Robin Hood: Prince of Thieves_1991,False,/3IutrlqLAOySvpiQQquXNkdn8g1.jpg,"[28, 12, 18, 10749]",8367,en,Robin Hood: Prince of Thieves,"When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.",27.277,/hbRnWUNJkKKVN5mkcuC5ooqjE4e.jpg,1991-06-14,Robin Hood: Prince of Thieves,False,6.8,2780
Blackfly_1991,False,/1ed16Ug805f6i8OFY7Ln8gDSJzX.jpg,"[16, 10751, 35]",48608,en,Blackfly,"A young surveyer, new to Ontario, encounters the blackflies. Over and over again, he encounters those blackflies.",0.613,/bBAbYB8phUk4hvdgpiSdA9oxWh3.jpg,1991-12-28,Blackfly,False,5.9,9
Manipulation_1991,False,/aM4gdFYb0stoThNj3hmKWvoNxGG.jpg,"[16, 35]",47207,en,Manipulation,"A discarded cartoon character and some spilt ink combine and interact as if the cartoonist had drawn their actions. Discovering them, the cartoonist then joins in the interaction.",0.6,/gSDKwd3R5DrGAxCIbLqzAVgoqeg.jpg,1991-01-01,Manipulation,False,6.1,16
Strings_1991,False,/uhUhqhydw1a9SZzzWGSroSBjFYb.jpg,[16],209690,en,Strings,"This film explores the distant relationship between an elderly amateur musician, the woman who lives in the apartment above him and the leaky bathtub that is bothering them both.",0.64,/ovLSNEuQ3qm9IUHByOIUgVaOoj5.jpg,1991-10-01,Strings,False,5.5,10
Birch Street Gym_1991,False,,[],244730,en,Birch Street Gym,"A group of elderly retirees join a boxing gym, and rediscover their self-worth as they repudiate expectations that they're too old to lead vigorous lives. Jack is particularly relieved to escape the tedium of his retirement home, as he advances to challenge brutish Rocco for the club championship. But Rudy, the club's operator, must battle local officials who are trying to close the club out of fear that the members are endangering themselves.",0.6,/bVoYjnuKvth5tMHi23Z8sEiKZeb.jpg,1991-01-01,Birch Street Gym,False,5.5,4
Last Breeze of Summer_1991,False,,[],244731,en,Last Breeze of Summer,Oscar nominated short film from 1991,0.6,/4YhHVSDTxXE4HBkfqTf6Gow5H4i.jpg,1991-01-01,Last Breeze of Summer,False,5,1
Session Man_1991,False,,[],244729,en,Session Man,"When personal and creative differences threaten to destroy a musical supergroup during the recording of an album, studio guitar player McQueen is brought in to smooth out the tracks. Soon he is reconsidering the direction of his life as he dreams of the elusive brass ring.",0.762,,1991-01-01,Session Man,False,5.8,6
Backdraft_1991,False,/qFICrzFmu1X5l49fHAsOkef9uif.jpg,"[80, 18, 53, 28]",2924,en,Backdraft,Firemen brothers Brian and Stephen McCaffrey battle each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.,21.748,/bymJtYNIdiAiBR1LRetaJXbfryc.jpg,1991-05-24,Backdraft,False,6.7,1177
Europa Europa_1991,False,/o66JrdCDQywsPxlTBzv0SW0OuvA.jpg,"[36, 18, 10752]",8996,de,Europa Europa,A Jewish boy separated from his family in the early days of WWII poses as a German orphan and is taken into the heart of the Nazi world as a 'war hero' and eventually becomes a Hitler Youth.,11.873,/hkh3GzBHquwB5nkdEeQUbFSo5Ju.jpg,1990-11-14,Europa Europa,False,7.3,195
Grand Canyon_1991,False,/akWPz9TFPWylcDPknaT9KJZnKSd.jpg,[18],13697,en,Grand Canyon,Grand Canyon revolved around six residents from different backgrounds whose lives intertwine in modern-day Los Angeles. At the center of the film is the unlikely friendship of two men from different races and classes brought together when one finds himself in jeopardy in the other's rough neighborhood.,5.797,/gpqLukoUXAXkyMZ0jPSuAbWf5Nx.jpg,1991-12-25,Grand Canyon,False,6.5,165
nan_1991,False,/spJ063LkpTk2BMiYx4L1dOGZnBv.jpg,"[10749, 18]",298094,cn,我為卿狂,"David is sitting in a bar, musing over why he has bedded and left five or six of Asia's loveliest women in such a short time.",19.736,/39cD7X07Nrt3wsEqcYP1n9BhjX2.jpg,1991-11-15,Hidden Desire,False,4,6
Chaplin_1992,False,/lAaAtQ5b8iX9JeG6QUq4RM1paKD.jpg,[18],10435,en,Chaplin,"An aged Charlie Chaplin narrates his life to his autobiography's editor, including his rise to wealth and comedic fame from poverty, his turbulent personal life and his run-ins with the FBI.",12.77,/Aeltt5tl02zrEj4GoMynHc94lWG.jpg,1992-12-17,Chaplin,False,7.4,883
Unforgiven_1992,False,/7O3ocR8n2ItqIgcxE1CY8ZHTJsz.jpg,[37],33,en,Unforgiven,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",25.805,/yKyLJmRAtyXEEYKOvPhKHXIcPq9.jpg,1992-08-07,Unforgiven,False,7.9,3691
Scent of a Woman_1992,False,/fa03pD2qYmms4ZMgAv7PMqfFiGO.jpg,[18],9475,en,Scent of a Woman,"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.",24.016,/j4fDIiv0N78Sfp9Wn0BaYzbIj1B.jpg,1992-12-23,Scent of a Woman,False,7.8,2771
The Crying Game_1992,False,/htBKlZaVLn7hnz36AdvVR53LwB8.jpg,"[80, 18, 53]",11386,en,The Crying Game,"Irish Republican Army member Fergus forms an unexpected bond with Jody, a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude and Maguire. Jody makes Fergus promise he'll visit his girlfriend, Dil, in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.",13.847,/6aeI28o2Oe1UzRIMPDlasTfCv4l.jpg,1992-09-02,The Crying Game,False,6.9,622
Malcolm X_1992,False,/7gvcyAbYbInPHwr3Lko7UCBCtqz.jpg,"[18, 36]",1883,en,Malcolm X,"A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride.",27.285,/ttcqfFRLsGxStkTd5YjfMD2uKv0.jpg,1992-11-18,Malcolm X,False,7.5,1375
A Few Good Men_1992,False,/H40nWdJngUc6gtytMAbElm9HOu.jpg,[18],881,en,A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",27.382,/rLOk4z9zL1tTukIYV56P94aZXKk.jpg,1992-12-11,A Few Good Men,False,7.5,2964
Glengarry Glen Ross_1992,False,/1fFseB3A35TmXVVb9mz6e6bIMZ0.jpg,"[80, 18, 9648]",9504,en,Glengarry Glen Ross,"When an office full of Chicago real estate salesmen is given the news that all but the top two will be fired at the end of the week, the atmosphere begins to heat up. Shelley Levene, who has a sick daughter, does everything in his power to get better leads from his boss, John Williamson, but to no avail. When his coworker Dave Moss comes up with a plan to steal the leads, things get complicated for the tough-talking salesmen.",16.024,/nGZCeCfNseq1ee3cJLBp0rH0djT.jpg,1992-09-15,Glengarry Glen Ross,False,7.4,1085
Mr. Saturday Night_1992,False,/9X7rxTdzk8NYeqDRZLRTB35ffDo.jpg,"[35, 18]",54087,en,Mr. Saturday Night,"Buddy Young was the comic's comic, beloved by everyone. Now, playing to miniscule crowds in nursing homes, it seems like everybody but Buddy realizes that he should retire. As Buddy looks for work in show business, he realizes that the rest of the world has forgotten the golden days of Buddy Young, and that there just may not be room in the business for an old comic like himself.",5.408,/tDAJzffAZyhpEsRiRCH3J9abTbZ.jpg,1992-09-23,Mr. Saturday Night,False,5.9,46
Indochine_1992,False,/sk5YqvIl4jd7xgw7lcoUMYOLjKt.jpg,"[18, 10749]",2731,fr,Indochine,"Eliane Devries is the seemingly repressed owner of a prosperous rubber plantation in French Indochina, circa 1930. Her steely exterior, however, is only a mask intended to hide her torrid love affairs from upper class society",9.32,/sAemRfr6mOSwtQ76e4yUQVImo8B.jpg,1992-04-15,Indochine,False,7.1,178
Passion Fish_1992,False,/zKJdjI75xkQfEFqXq31aN1yz4Jr.jpg,[18],41768,en,Passion Fish,"After an accident leaves her a paraplegic, a former soap opera star struggles to recover both emotionally and mentally, until she meets her newest nurse, who has struggles of her own.",3.551,/u7bjJ30DDsYKeq5bze12mY9TVrc.jpg,1992-12-11,Passion Fish,False,6.8,34
Love Field_1992,False,/rKKkluqNBqnlLpvuDDeSpgPYEdd.jpg,"[18, 10749]",66599,en,Love Field,"Dallas housewife Lurene Hallett's life revolves around the doings of Jacqueline Kennedy. She is devastated when President Kennedy is shot a few hours after she sees him arrive in Dallas. Despite her husband Ray's prohibition, she decides to attend the funeral in Washington, D.C. Forced to travel by bus, she befriends Jonell, the young black daughter of Paul Couter. Sensing something wrong, her good intentioned interference leads the mixed race threesome on an increasingly difficult journey to Washington with both the police and Ray looking for them.",5.465,/4xXryB2gBbmgfHtQoSwK1MZkMq8.jpg,1992-12-11,Love Field,False,5.8,51
