,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
Our Dancing Daughters_1928,False,/44c3n8032AIXsSNF92ITAlMwFr.jpg,"[18, 10749]",42614,en,Our Dancing Daughters,A flapper sets her hat for a man with a hard-drinking wife.,0.825,/iOe6CcW8nLL4AIzbUBRvOwKvSr6.jpg,1928-09-01,Our Dancing Daughters,False,6.7,13
White Shadows in the South Seas_1928,False,/twa5pQHucDuDPqDfsEYtB2WC2UF.jpg,"[18, 10749]",53161,en,White Shadows in the South Seas,"An alcoholic doctor on a Polynesian island, disgusted by white exploitation of the natives, finds himself marooned on a pristinely beautiful island.",1.4,/cVXcwvi6Ka0cmopbxQvzkjBrfmk.jpg,1928-11-11,White Shadows in the South Seas,False,6.4,14
Four Devils;_1928,False,/h3ejqIZ46ZZSHzwSCABI7756kLD.jpg,"[18, 28]",171624,en,4 Devils,"The circus provides the backdrop for this melodrama that chronicles the lives of four children raised within the big top. Film historian and collector William K. Everson stated that the only surviving print was lost by actress Mary Duncan who had borrowed it from Fox Studios. In the December 1974 issue of ""Films in Review,"" he explained that Mary Duncan, one of the film's stars, wanted it to show to a group of friends in Florida. The star was aware that it was a dangerous nitrate print and assumed that Fox had others. She threw the only copy in the ocean, a mistake characterized by Everson as ""a monumental blunder to rank with Balaclava, Sarajevo, and the Fall of Babylon as one of history's blackest moments.""",1.01,/7G71ryJRJbu8bC6oixxzC87BMz0.jpg,1928-10-03,4 Devils,False,7.5,2
Drag;_1928,False,/o7ItFstZ5eabAZ95b1IdyM10N4J.jpg,"[80, 18]",423732,en,The Drag Net,"A 1928 silent film crime drama produced by Famous Players-Lasky and distributed by Paramount Pictures, directed by Josef von Sternberg from an original screen story and starring George Bancroft and Evelyn Brent.",0.6,/yrOojQVqRNIfnQj6dtN8lh02KiA.jpg,1928-05-01,The Drag Net,False,0,0
Hollywood Revue_1928,,,,,,,,,,,,,,
In Old Arizona;_1928,False,/VRjzMGnGuAXycd1alavkwgAqQJ.jpg,"[28, 37]",83989,en,In Old Arizona,"Army Sergeant Mickey Dunn sets out in pursuit of the Cisco Kid, a notorious if kind-hearted and charismatic bandit of the Old West. The Kid spends much of his loot on Tonia, the woman he loves, not realizing that she is being unfaithful to him in his absence. Soon, with her oblivious paramour off plying his trade, Tonia falls in with Dunn, drawn by the allure of a substantial reward for the Kid's capture -- dead or alive. Together, they concoct a plan to ambush and do away with the Cisco Kid once and for all.",4.079,/x1XSQeLUdoi72P5UOXqAyL46B9a.jpg,1928-12-25,In Old Arizona,False,5.2,19
The Cop;_1928,False,/67p8CL0qtq4ff8AEgAPDX8d3VeU.jpg,"[18, 35]",189930,en,Riley the Cop,"In this early comedy from John Ford, Riley is a New York Irish cop sent to Germany to track down a young man who stole money from a local bakery.",0.911,/R1DnElkjq1g19pCM6lzoyKpsae.jpg,1928-11-25,Riley the Cop,False,5.6,8
The Last of Mrs. Cheyney_1928,,,,,,,,,,,,,,
A Woman of Affairs;_1928,False,/sqWMX6aCANfcHHVTcHkHAmFACc2.jpg,[18],42615,en,A Woman of Affairs,"Childhood friends Diana, Neville and David are caught in a love triangle as adults. Diana and Neville have long been smitten with each other, but her father disapproves of the relationship, resulting in her eventual marriage to David. It's not long after their wedding, however, that tragedy strikes, sending Diana on a downward spiral. When Neville reappears in her life, will he be able to save her from her own misery?",1.96,/4mPXzRGMBKrzN9XBrEgPoxhdbu.jpg,1928-12-15,A Woman of Affairs,False,6.9,12
Disraeli_1929,False,/lAhQmZJkcL3CjIyfzA3cDQeOLo.jpg,"[18, 36]",84274,en,Disraeli,Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.,0.815,/eVJpfh42k1SXkwyAQGzEdM3xSvf.jpg,1929-11-01,Disraeli,False,6,11
